指数代码	指数简称	指数全称	发布日期	退市日期	指数行情	指数权重	指数成分
399002.XSHE	成份Ａ指	深证成份全收益指数	1995-01-23	0000-00-00	有	有	有
399003.XSHE	成份B指	深证成份B股指数	1995-01-23	0000-00-00	有	NA	有
399004.XSHE	深证100R	深证100指数(收益)	2003-01-02	0000-00-00	有	有	有
399005.XSHE	中小板指	中小板指数(价格)	2006-01-24	0000-00-00	有	有	有
399006.XSHE	创业板指	创业板指数(价格)	2010-06-01	0000-00-00	有	有	有
399007.XSHE	深证300	深证300指数	2009-11-04	0000-00-00	有	有	有
399008.XSHE	中小300	中小板300指数	2010-03-22	0000-00-00	有	有	有
399009.XSHE	深证200	深证200指数	2011-09-01	0000-00-00	有	有	有
399010.XSHE	深证700	深证700指数	2011-09-01	0000-00-00	有	有	有
399011.XSHE	深证1000	深证1000指数	2011-09-01	0000-00-00	有	有	有
399012.XSHE	创业300	创业板300指数	2013-01-07	0000-00-00	有	有	有
399013.XSHE	深市精选	深市精选指数	2014-05-30	0000-00-00	有	有	有
399015.XSHE	中小创新	深证中小创新指数	2015-03-24	0000-00-00	有	有	有
399016.XSHE	深证创新	深证创新指数	2016-12-01	0000-00-00	有	有	有
399017.XSHE	SME创新	中小板创新指数	2016-12-01	0000-00-00	有	有	有
399018.XSHE	创业创新	创业板创新指数	2016-12-01	0000-00-00	有	有	有
399050.XSHE	创新引擎	国证深圳创新引擎指数	2018-07-31	0000-00-00	有	有	有
399088.XSHE	深创100	深证创新100指数	2020-02-18	0000-00-00	有	有	有
399100.XSHE	新指数	深证新指数	2006-02-16	0000-00-00	有	有	有
399101.XSHE	中小板综	中小板综合指数	2005-12-01	0000-00-00	有	有	有
399102.XSHE	创业板综	创业板综合指数	2010-08-20	0000-00-00	有	有	有
399103.XSHE	乐富指数	深证乐富基金指数	2011-12-02	0000-00-00	有	有	有
399106.XSHE	深证综指	深证综合指数	1991-04-04	0000-00-00	有	NA	有
399107.XSHE	深证Ａ指	深证A股指数	1992-10-04	0000-00-00	有	有	有
399108.XSHE	深证Ｂ指	深证B股指数	1992-10-06	0000-00-00	有	有	有
399110.XSHE	农林指数	深证农林牧渔指数	2001-07-02	2013-03-04	NA	NA	NA
399120.XSHE	采掘指数	深证采掘业指数	2001-07-02	2013-03-04	NA	NA	NA
399130.XSHE	制造指数	深证制造业指数	2001-07-02	2013-03-04	NA	NA	NA
399131.XSHE	食品指数	深证食品饮料指数	2001-07-02	2013-03-04	NA	NA	NA
399132.XSHE	纺织指数	深证纺织服装指数	2001-07-02	2013-03-04	NA	NA	NA
399133.XSHE	木材指数	深证木材家具指数	2001-07-02	2013-03-04	NA	NA	NA
399134.XSHE	造纸指数	深证造纸印刷指数	2001-07-02	2013-03-04	NA	NA	NA
399135.XSHE	石化指数	深证石化塑胶指数	2001-07-02	2013-03-04	NA	NA	NA
399136.XSHE	电子指数	深证电子指数	2001-07-02	2013-03-04	NA	NA	NA
399137.XSHE	金属指数	深证金属非金属指数	2001-07-02	2013-03-04	NA	NA	NA
399138.XSHE	机械指数	深证机械设备指数	2001-07-02	2013-03-04	NA	NA	NA
399139.XSHE	医药指数	深证医药生物指数	2001-07-02	2013-03-04	NA	NA	NA
399140.XSHE	水电指数	深证水电煤气指数	2001-07-02	2013-03-04	NA	NA	NA
399150.XSHE	建筑指数	深证建筑业指数	2001-07-02	2013-03-04	NA	NA	NA
399160.XSHE	运输指数	深证运输仓储指数	2001-07-02	2013-03-04	NA	NA	NA
399170.XSHE	信息指数	深证信息技术指数	2001-07-02	2013-03-04	NA	NA	NA
399180.XSHE	批零指数	深证批发零售指数	2001-07-02	2013-03-04	NA	NA	NA
399190.XSHE	金融指数	深证金融保险指数	2001-07-02	2013-03-04	NA	NA	NA
399200.XSHE	地产指数	深证房地产业指数	2001-07-02	2013-03-04	NA	NA	NA
399210.XSHE	服务指数	深证社会服务指数	2001-07-02	2013-03-04	NA	NA	NA
399220.XSHE	传播指数	深证传播文化指数	2001-07-02	2013-03-04	NA	NA	NA
399230.XSHE	综企指数	深证综合企业指数	2001-07-02	2013-03-04	NA	NA	NA
399231.XSHE	农林指数	农林牧渔指数	2013-03-04	0000-00-00	有	有	有
399232.XSHE	采矿指数	采矿业指数	2013-03-04	0000-00-00	有	有	有
399233.XSHE	制造指数	制造业指数	2013-03-04	0000-00-00	有	有	有
399234.XSHE	水电指数	水电煤气指数	2013-03-04	0000-00-00	有	有	有
399235.XSHE	建筑指数	建筑业指数	2013-03-04	0000-00-00	有	有	有
399236.XSHE	批零指数	批发零售指数	2013-03-04	0000-00-00	有	有	有
399237.XSHE	运输指数	运输仓储指数	2013-03-04	0000-00-00	有	有	有
399238.XSHE	餐饮指数	住宿餐饮指数	2013-03-04	0000-00-00	有	有	有
399239.XSHE	IT指数	信息技术指数	2013-03-04	0000-00-00	有	有	有
399240.XSHE	金融指数	金融业指数	2013-03-04	0000-00-00	有	有	有
399241.XSHE	地产指数	房地产业指数	2013-03-04	0000-00-00	有	有	有
399242.XSHE	商务指数	商务服务指数	2013-03-04	0000-00-00	有	有	有
399243.XSHE	科研指数	科研服务指数	2013-03-04	0000-00-00	有	有	有
399244.XSHE	公共指数	公共环保指数	2013-03-04	0000-00-00	有	有	有
399248.XSHE	文化指数	文化传播指数	2013-03-04	0000-00-00	有	有	有
399249.XSHE	综企指数	综合类指数	2013-03-04	0000-00-00	有	有	有
399275.XSHE	创医药	创业板医药卫生指数	2020-10-26	0000-00-00	有	有	有
399276.XSHE	创科技	创业板科技指数	2020-10-26	0000-00-00	有	有	有
399277.XSHE	公共健康	深证公共健康50指数	2020-05-08	0000-00-00	有	有	有
399278.XSHE	长江100	深证长江经济带100指数	2020-05-08	0000-00-00	有	有	有
399279.XSHE	云科技50	深证云科技50指数	2020-05-08	0000-00-00	有	有	有
399280.XSHE	生物50	深证生物医药50指数	2020-05-08	0000-00-00	有	有	有
399281.XSHE	电子50	深证消费电子50指数	2020-05-08	0000-00-00	有	有	有
399282.XSHE	大数据50	深证大数据50指数	2020-02-18	0000-00-00	有	有	有
399283.XSHE	机器人50	深证机器人50指数	2020-02-18	0000-00-00	有	有	有
399284.XSHE	AI50	深证人工智能50指数	2020-02-18	0000-00-00	有	有	有
399285.XSHE	物联网50	深证物联网50指数	2020-02-18	0000-00-00	有	有	有
399286.XSHE	区块链50	深证区块链50指数	2019-12-24	0000-00-00	有	有	有
399290.XSHE	深转交债	深证投资级可转债及可交换债券指数	2019-06-06	0000-00-00	有	有	有
399291.XSHE	创精选88	国证创业板中盘精选88指数	2019-11-06	0000-00-00	有	有	有
399292.XSHE	民企发展	深证民企发展	2019-03-05	0000-00-00	有	有	有
399293.XSHE	创业大盘	创业板大盘指数	2019-04-18	0000-00-00	有	有	有
399294.XSHE	中小创Q	深证中小创业质量指数	2019-06-06	0000-00-00	有	有	有
399295.XSHE	创业蓝筹	创业板低波蓝筹指数	2019-01-23	0000-00-00	有	有	有
399296.XSHE	创成长	创业板动量成长指数	2019-01-23	0000-00-00	有	有	有
399297.XSHE	新浪100	深证新浪大数据100指数	2017-12-22	0000-00-00	有	NA	有
399298.XSHE	深信中高	深证中高等级信用债指数	2014-09-25	0000-00-00	有	有	有
399299.XSHE	深信中低	深证中低等级信用债指数	2014-09-25	0000-00-00	有	有	有
399300.XSHE	沪深300	沪深300指数	2005-04-08	0000-00-00	有	NA	有
399301.XSHE	深信用债	深证信用债综合指数	2013-04-15	0000-00-00	有	有	有
399302.XSHE	深公司债	深证公司债综合指数	2013-04-15	0000-00-00	有	有	有
399303.XSHE	国证2000	国证2000指数	2014-03-28	0000-00-00	有	有	有
399305.XSHE	基金指数	深证深市基金指数	2000-07-03	2017-07-03	NA	NA	NA
399306.XSHE	深证ETF	深证ETF指数	2011-12-02	0000-00-00	有	有	有
399307.XSHE	深证转债	深证可转换债券综合指数	2014-08-27	0000-00-00	有	有	有
399310.XSHE	国证50	国证A50指数	2005-09-05	0000-00-00	有	有	有
399311.XSHE	国证1000	国证1000指数	2005-02-03	0000-00-00	有	有	有
399312.XSHE	国证300	国证300指数	2005-02-03	0000-00-00	有	有	有
399313.XSHE	巨潮100	巨潮100指数	2005-02-03	0000-00-00	有	有	有
399314.XSHE	巨潮大盘	巨潮大盘指数	2005-02-03	0000-00-00	有	有	有
399315.XSHE	巨潮中盘	巨潮中盘指数	2005-02-03	0000-00-00	有	有	有
399316.XSHE	巨潮小盘	巨潮小盘指数	2005-02-03	0000-00-00	有	有	有
399317.XSHE	国证A指	国证A股指数	2005-02-03	0000-00-00	有	有	有
399318.XSHE	国证B指	国证B股指数	2005-02-03	0000-00-00	有	NA	有
399319.XSHE	资源优势	国证资源优势指数	2005-01-04	0000-00-00	有	有	有
399320.XSHE	国证服务	国证公共服务指数	2005-01-04	0000-00-00	有	有	有
399321.XSHE	国证红利	国证红利指数	2005-01-04	0000-00-00	有	有	有
399322.XSHE	国证治理	国证治理指数	2005-12-12	0000-00-00	有	有	有
399324.XSHE	深证红利	深证红利指数	2006-01-24	0000-00-00	有	有	有
399326.XSHE	成长40	深证成长40指数	2006-01-24	0000-00-00	有	有	有
399328.XSHE	深证治理	深证治理指数	2006-01-24	0000-00-00	有	有	有
399329.XSHE	中小板指	中小板100P	2006-01-24	2010-04-12	NA	NA	NA
399330.XSHE	深证100	深证100指数(价格)	2003-01-02	0000-00-00	有	有	有
399332.XSHE	深证创新	深证创新价格指数	2006-02-27	2016-11-30	NA	NA	NA
399333.XSHE	中小板R	中小板指数(收益)	2006-12-27	0000-00-00	有	有	有
399335.XSHE	深证央企	深证央企指数	2009-08-03	0000-00-00	有	有	有
399337.XSHE	深证民营	深证民营指数	2009-08-03	0000-00-00	有	有	有
399339.XSHE	深证科技	深证科技指数	2009-08-03	0000-00-00	有	有	有
399341.XSHE	深证责任	深证责任指数	2009-08-03	0000-00-00	有	有	有
399344.XSHE	深证300R	深证300指数(收益)	2009-11-04	0000-00-00	有	有	有
399346.XSHE	深证成长	深证300成长指数	2009-11-04	0000-00-00	有	有	有
399348.XSHE	深证价值	深证300价值指数	2009-11-04	0000-00-00	有	有	有
399350.XSHE	皖江30	国证国元皖江30指数	2012-12-18	0000-00-00	有	有	有
399351.XSHE	创新示范	国证深圳创新示范100指数	2004-09-01	0000-00-00	有	有	有
399352.XSHE	深企综指	国证深圳企业综合指数	2005-02-03	0000-00-00	有	有	有
399353.XSHE	国证物流	国证物流行业指数	2005-03-01	0000-00-00	有	有	有
399354.XSHE	分析师指	新财富最佳分析师指数	2006-11-25	0000-00-00	有	有	有
399355.XSHE	长三角	国证长三角指数	2007-07-02	0000-00-00	有	有	有
399356.XSHE	珠三角	国证珠三角指数	2007-07-02	0000-00-00	有	有	有
399357.XSHE	环渤海	国证环渤海指数	2007-07-02	0000-00-00	有	有	有
399358.XSHE	国证环保	国证环保指数	2008-01-02	0000-00-00	有	有	有
399359.XSHE	国证基建	国证基建指数	2009-08-03	0000-00-00	有	有	有
399360.XSHE	新硬件	国证新硬件产业指数	2016-07-01	0000-00-00	有	有	有
399361.XSHE	在线消费	国证在线消费指数	2009-08-03	0000-00-00	有	有	有
399362.XSHE	民企100	国证民企领先100指数	2009-08-03	0000-00-00	有	有	有
399363.XSHE	云科技	国证云端在线科技指数	2009-08-03	0000-00-00	有	有	有
399364.XSHE	消费100	国证消费100指数	2009-08-03	0000-00-00	有	有	有
399365.XSHE	国证农业	国证农业综合企业指数	2009-11-04	0000-00-00	有	有	有
399366.XSHE	国证大宗	国证大宗商品生产商指数	2009-11-04	0000-00-00	有	有	有
399367.XSHE	1000地产	1000地产指数	2009-11-04	0000-00-00	有	有	有
399368.XSHE	国证军工	国证航天军工指数	2009-11-04	0000-00-00	有	有	有
399369.XSHE	国证责任	国证社会责任指数	2009-11-04	0000-00-00	有	有	有
399370.XSHE	国证成长	国证成长指数	2010-01-04	0000-00-00	有	有	有
399371.XSHE	国证价值	国证价值指数	2010-01-04	0000-00-00	有	有	有
399372.XSHE	大盘成长	巨潮大盘成长指数	2010-01-04	0000-00-00	有	有	有
399373.XSHE	大盘价值	巨潮大盘价值指数	2010-01-04	0000-00-00	有	有	有
399374.XSHE	中盘成长	巨潮中盘成长指数	2010-01-04	0000-00-00	有	有	有
399375.XSHE	中盘价值	巨潮中盘价值指数	2010-01-04	0000-00-00	有	有	有
399376.XSHE	小盘成长	巨潮小盘成长指数	2010-01-04	0000-00-00	有	有	有
399377.XSHE	小盘价值	巨潮小盘价值指数	2010-01-04	0000-00-00	有	有	有
399378.XSHE	ESG300	国证ESG300指数	2010-09-20	0000-00-00	有	有	有
399379.XSHE	国证基金	国证上市基金指数	2011-12-02	0000-00-00	有	有	有
399380.XSHE	国证ETF	国证ETF指数	2011-12-02	0000-00-00	有	有	有
399381.XSHE	1000能源	国证1000能源行业指数	2011-12-02	0000-00-00	有	有	有
399382.XSHE	1000材料	国证1000原材料行业指数	2011-12-02	0000-00-00	有	有	有
399383.XSHE	1000工业	国证1000工业行业指数	2011-12-02	0000-00-00	有	有	有
399384.XSHE	1000可选	国证1000可选消费行业指数	2011-12-02	0000-00-00	有	有	有
399385.XSHE	1000消费	国证1000主要消费行业指数	2011-12-02	0000-00-00	有	有	有
399386.XSHE	1000医药	国证1000医药卫生行业指数	2011-12-02	0000-00-00	有	有	有
399387.XSHE	1000金融	国证1000金融地产行业指数	2011-12-02	0000-00-00	有	有	有
399388.XSHE	1000信息	国证1000信息技术行业指数	2011-12-02	0000-00-00	有	有	有
399389.XSHE	国证通信	国证通信指数	2011-12-02	0000-00-00	有	有	有
399390.XSHE	1000公用	国证1000公用事业行业指数	2011-12-02	0000-00-00	有	有	有
399391.XSHE	投资时钟	国证色诺芬投资时钟指数	2012-03-26	0000-00-00	有	有	有
399392.XSHE	国证新兴	国证战略性新兴产业指数	2012-03-28	0000-00-00	有	有	有
399393.XSHE	国证地产	国证房地产行业指数	2012-08-20	0000-00-00	有	有	有
399394.XSHE	国证医药	国证医药卫生行业指数	2012-10-29	0000-00-00	有	有	有
399395.XSHE	国证有色	国证有色金属行业指数	2012-10-29	0000-00-00	有	有	有
399396.XSHE	国证食品	国证食品饮料行业指数	2012-10-29	0000-00-00	有	有	有
399397.XSHE	国证文化	国证文化产业指数	2012-11-09	0000-00-00	有	有	有
399398.XSHE	绩效指数	国证绩效指数	2012-11-19	0000-00-00	有	有	有
399399.XSHE	中经GDP	国证中经GDP指数	2012-11-23	0000-00-00	有	有	有
399400.XSHE	大中盘	巨潮大中盘指数	2013-03-20	0000-00-00	有	有	有
399401.XSHE	中小盘	巨潮中小盘指数	2013-03-20	0000-00-00	有	有	有
399402.XSHE	周期100	国证周期行业100指数	2013-10-28	0000-00-00	有	有	有
399403.XSHE	防御100	国证防御行业100指数	2013-10-28	0000-00-00	有	有	有
399404.XSHE	大盘低波	巨潮大盘低波动率指数	2013-12-05	0000-00-00	有	有	有
399405.XSHE	大盘高贝	巨潮大盘高贝塔指数	2013-12-05	0000-00-00	有	有	有
399406.XSHE	中盘低波	巨潮中盘低波动率指数	2013-12-05	0000-00-00	有	有	有
399407.XSHE	中盘高贝	巨潮中盘高贝塔指数	2013-12-05	0000-00-00	有	有	有
399408.XSHE	小盘低波	巨潮小盘低波动率指数	2013-12-05	0000-00-00	有	有	有
399409.XSHE	小盘高贝	巨潮小盘高贝塔指数	2013-12-05	0000-00-00	有	有	有
399410.XSHE	苏州率先	苏州率先指数	2013-12-12	0000-00-00	有	有	有
399411.XSHE	红利100	国证红利加权100指数	2014-04-10	0000-00-00	有	有	有
399412.XSHE	国证新能	国证新能源指数	2014-05-16	0000-00-00	有	有	有
399413.XSHE	国证转债	国证可转换债券综合指数	2014-08-27	0000-00-00	有	有	有
399415.XSHE	i100	大数据100指数	2014-09-12	0000-00-00	有	有	有
399416.XSHE	i300	大数据300指数	2014-09-12	0000-00-00	有	有	有
399417.XSHE	新能源车	国证新能源汽车指数	2014-09-24	0000-00-00	有	有	有
399418.XSHE	国证国安	国证国家安全指数	2014-11-21	0000-00-00	有	有	有
399419.XSHE	国证高铁	国证高铁指数	2014-12-10	0000-00-00	有	有	有
399420.XSHE	国证保证	国证保险证券指数	2014-12-10	0000-00-00	有	有	有
399422.XSHE	中关村A指	中关村A股综合指数	2015-02-05	0000-00-00	有	有	有
399423.XSHE	中关村50	中关村50指数	2015-02-05	0000-00-00	有	有	有
399427.XSHE	专利领先	国证德高行专利领先指数	2015-02-17	0000-00-00	有	有	有
399428.XSHE	国证定增	国证定向增发指数	2015-02-17	0000-00-00	有	有	有
399429.XSHE	新丝路	新丝路指数	2015-01-08	0000-00-00	有	有	有
399431.XSHE	国证银行	国证银行行业指数	2014-12-30	0000-00-00	有	有	有
399432.XSHE	国证汽车	国证电动智能汽车指数	2014-12-30	0000-00-00	有	有	有
399433.XSHE	国证交运	国证交通运输行业指数	2014-12-30	0000-00-00	有	有	有
399434.XSHE	国证传媒	国证传媒行业指数	2014-12-30	0000-00-00	有	有	有
399435.XSHE	国证农牧	国证农牧渔产品行业指数	2014-12-30	0000-00-00	有	有	有
399436.XSHE	国证煤炭	国证煤炭行业指数	2014-12-30	0000-00-00	有	有	有
399437.XSHE	证券龙头	国证证券龙头指数	2014-12-30	0000-00-00	有	有	有
399438.XSHE	国证电力	国证电力公用事业行业指数	2014-12-30	0000-00-00	有	有	有
399439.XSHE	国证油气	国证石油天然气行业指数	2014-12-30	0000-00-00	有	有	有
399440.XSHE	国证钢铁	国证钢铁行业指数	2014-12-30	0000-00-00	有	有	有
399441.XSHE	生物医药	国证生物医药指数	2015-01-20	0000-00-00	有	有	有
399481.XSHE	企债指数	国证企业债指数	2003-02-17	0000-00-00	有	有	有
399550.XSHE	央视50	央视财经50指数	2012-06-06	0000-00-00	有	有	有
399551.XSHE	央视创新	央视财经50创新领先指数	2013-06-06	0000-00-00	有	有	有
399552.XSHE	央视成长	央视财经50成长领先指数	2013-06-06	0000-00-00	有	有	有
399553.XSHE	央视回报	央视财经50回报领先指数	2013-06-06	0000-00-00	有	有	有
399554.XSHE	央视治理	央视财经50治理领先指数	2013-06-06	0000-00-00	有	有	有
399555.XSHE	央视责任	央视财经50责任领先指数	2013-06-06	0000-00-00	有	有	有
399556.XSHE	央视生态	央视生态产业指数	2014-06-06	0000-00-00	有	有	有
399557.XSHE	央视文化	央视文化产业指数	2014-06-06	0000-00-00	有	有	有
399602.XSHE	中小成长	中小板300成长指数	2010-05-24	0000-00-00	有	有	有
399604.XSHE	中小价值	中小板300价值指数	2010-05-24	0000-00-00	有	有	有
